,dominant_topic,original_text,topic_perc_contrib,tokens,num_tokens,unique_tokens,num_unique_tokens,keywords,correct
1108,Series Authenticity,Great game combining many elements from previous games,0.7755,"['element', 'previous_games']",2,"['element', 'previous_games']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun",1
2120,Series Authenticity,"As a long time total war fan, three kingdoms is the most polished total war games to date from a single player perspective. 

Diplomacy: If the player chooses, diplomacy can be a much larger part of the campaign compared with previous total war games. 

Battle: Combat is less about Rock Paper Scissors. Archers have greater range and damage potential. Calvary like in recent total war titles are still extremely strong (although fewer in number compared with Atilla and Rome2).

Campaign: I found myself greatly attached to my generals and it is very sad when they finally die of old age at the end of the campaign. Players can choose to follow the story or decide their own path. This is an great addition to total war that provides the game with better immersion. 

Art: Armor and portrayal of characters is more fantasy rather than historical but it is nonetheless pretty impressive. The design of the campaign map and in battle scenery is gorgeous. 

It took me over 70 hours to finish my first campaign (Gongsun Zan)and I loved every moment of it. The game is worth every penny and I definitely recommend it to anyone interested in the time period, history or enjoys total war style games.",0.806500018,"['long_time', 'fan', 'three_kingdoms', 'total_war_games', 'date', 'single_player', 'perspective', 'diplomacy', 'player', 'diplomacy', 'campaign', 'compared_previous', 'total_war_games', 'battle', 'combat', 'rock_paper_scissors', 'range', 'damage', 'total_war_titles', 'number', 'atilla', 'rome2', 'campaign', 'general', 'die_old_age', 'end', 'campaign', 'player', 'follow', 'story', 'path', 'addition_total_war', 'immersion', 'art', 'armor', 'portrayal', 'character', 'fantasy', 'design', 'campaign_map', 'battle', 'scenery', 'hour', 'finish', 'campaign', 'gongsun', 'zanand', 'moment', 'worth_penny', 'definitely_recommend', 'time_period', 'history', 'style']",53,"['long_time', 'compared_previous', 'rock_paper_scissors', 'path', 'story', 'design', 'character', 'battle', 'combat', 'gongsun', 'campaign_map', 'zanand', 'follow', 'three_kingdoms', 'date', 'total_war_games', 'history', 'diplomacy', 'general', 'armor', 'atilla', 'portrayal', 'scenery', 'addition_total_war', 'damage', 'finish', 'style', 'player', 'campaign', 'immersion', 'single_player', 'fan', 'worth_penny', 'time_period', 'number', 'perspective', 'end', 'rome2', 'art', 'range', 'definitely_recommend', 'moment', 'fantasy', 'hour', 'total_war_titles', 'die_old_age']",46,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun",1
265,Series Authenticity,"A solid game
All the Total War series have been a good cross between the Real Time Strategy and the Grand Strategy genres, and this one is no different. And the way 3K has dealt with characters and settlements feels (to me at least) like a good merger with the Total Warhammer games and the older entries in the series.

To the developers: There are a lot of modders who are looking to escape from the buggy mess that is Medieval 2 Total War, but due to a lack of campaign map editor have not been able to. Adding one to the assembly kit would open up a large new customer base as mods such as Hyrule Total War would love to port over, bringing their fanbase with them",0.531300008,"['total_war_series', 'real_time', 'strategy', 'grand_strategy', 'genre', 'way', 'character', 'settlement', 'merger', 'total_warhammer', 'entry', 'series', 'developer', 'modder', 'escape', 'mess', 'lack', 'campaign_map', 'editor', 'assembly', 'kit', 'customer', 'base', 'mod', 'love', 'port', 'fanbase']",27,"['way', 'assembly', 'port', 'kit', 'strategy', 'character', 'real_time', 'total_war_series', 'genre', 'campaign_map', 'settlement', 'lack', 'love', 'fanbase', 'modder', 'customer', 'base', 'series', 'grand_strategy', 'mess', 'escape', 'total_warhammer', 'developer', 'mod', 'entry', 'editor', 'merger']",27,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun",1
390,Series Authenticity,"its alright
I don't like the idea of purchasing blood pack separately tho.",0.777499974,"['idea', 'blood_pack']",2,"['idea', 'blood_pack']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun",0
2486,Strategic Gameplay,"Stop looking at reviews and just go buy it already, trust me it?? amazing.",0.723100007,"['review', 'trust']",2,"['review', 'trust']",2,"faction, army, diplomacy, vassal, war, player, people, way, city, problem",0
3418,Game Stability,so far so good. it's a total war game. not sure what to say here. the diplomacy has been improved so much since atilla and works really well. everything else is just as you would expect a total war game to be.,0.452399999,"['diplomacy', 'atilla', 'work']",3,"['work', 'diplomacy', 'atilla']",3,"campaign, hour, issue, battle, bug, crash, multiplayer, review, rome, fix",0
3095,Game Stability,"Genuinely a great game, feels far more in depth campaign wise than warhammer. I wont say I love the battles the same but I think that it is easier to fix than a not so good campaign so I think changes will happen quick and it will be perfect for me. I am incredibly happy with it and glad I bought it opening day.
",0.913800001,"['depth', 'campaign', 'warhammer', 'battle', 'fix', 'campaign', 'change', 'glad', 'opening', 'day']",10,"['warhammer', 'battle', 'depth', 'glad', 'day', 'campaign', 'opening', 'change', 'fix']",9,"campaign, hour, issue, battle, bug, crash, multiplayer, review, rome, fix",0
2712,Game Stability,It seems that hell has frozen: for the first time in forever we see a polished version of Total War on release day.,0.773299992,"['hell', 'version', 'release_day']",3,"['hell', 'version', 'release_day']",3,"campaign, hour, issue, battle, bug, crash, multiplayer, review, rome, fix",1
3201,Series Authenticity,"First a disclaimer - I love Total War games - every single one of them and I have more than 3000 logged between Warhammer 1 and 2.

That said, Total War Three Kingdoms, imo, is the best Total War game ever made.  It refreshes the historic (and semi historic) side of the franchise in ways I didnt think possible.  And it runs SMOOTH.

The only issue is that this is now their gold standard - future Total War games have a high bar to reach after May 23, 2019.",0.872699976,"['disclaimer', 'love', 'total_war_games', 'warhammer_two', 'three_kingdoms', 'best_total_war', 'refresh', 'semi', 'franchise', 'way', 'runs_smooth', 'issue', 'future', 'total_war_games', 'bar']",15,"['franchise', 'way', 'disclaimer', 'semi', 'best_total_war', 'issue', 'bar', 'love', 'three_kingdoms', 'refresh', 'total_war_games', 'runs_smooth', 'warhammer_two', 'future']",14,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun",1
795,Characters,"10/10 Would conquer China through Rice trade again, not even joking.",0.844900012,"['conquer', 'china', 'rice', 'trade', 'joking']",5,"['conquer', 'china', 'trade', 'rice', 'joking']",5,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor",0
3165,Characters,Better than the Romance of the Three Kingdom games by Koei!,0.613699973,['romance_three_kingdom'],1,['romance_three_kingdom'],1,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor",0
2822,Tactical Gameplay,"So far I like it. It seems focused more on constant military conflict, losing and gaining new territory, and juggling diplomacy between border factions than in past total war games. In the past you started in one area and branched out in one direction. Now you are surrounded by allies and foes in every direction. It's very fitting for the Romance of the Three kingdoms vibe they were going with.",0.630599976,"['conflict', 'territory', 'diplomacy', 'border', 'faction', 'total_war_games', 'past', 'area', 'direction', 'ally', 'foe', 'direction', 'romance_three_kingdoms', 'vibe']",14,"['romance_three_kingdoms', 'area', 'vibe', 'border', 'territory', 'faction', 'foe', 'direction', 'ally', 'total_war_games', 'past', 'conflict', 'diplomacy']",13,"unit, battle, faction, army, general, character, diplomacy, campaign, hero, building",1
1046,Series Authenticity,This is a fantastic entry to the Total War series. The diplomacy system is amazing. The combat is as great as you can always expect from this franchise and by God is it a beautiful game.,0.885299981,"['entry', 'total_war_series', 'combat', 'franchise', 'god']",5,"['total_war_series', 'franchise', 'combat', 'entry', 'god']",5,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun",1
370,Series Authenticity,Would be the best total war if not for the crashes.,0.444299996,"['best_total_war', 'crash']",2,"['crash', 'best_total_war']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun",1
3010,Strategic Gameplay,"I broke up with my girlfriend for this game, and I am happy with the outcome.",0.582099974,['outcome'],1,['outcome'],1,"faction, army, diplomacy, vassal, war, player, people, way, city, problem",0
1896,Series Authenticity,"Best of the franchise, i just love it!",0.777100027,"['franchise', 'love']",2,"['franchise', 'love']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun",1
1227,Series Authenticity,best total war i've played so far.,0.666400015,['best_total_war'],1,['best_total_war'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun",1
2108,Series Authenticity,its good. cant wait for more dlc and patches. hopefully they can make it less laggy cant even play on extreme settings or anything high. oh well still good game i guess.,0.519400001,"['wait_dlc', 'patch', 'play', 'setting']",4,"['wait_dlc', 'patch', 'setting', 'play']",4,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun",0
659,Series Authenticity,Three Kingdoms has been my favorite Total War game since Rome 1. I highly recommend it.,0.866299987,"['three_kingdoms', 'favorite_total_war', 'rome', 'highly_recommend']",4,"['rome', 'three_kingdoms', 'highly_recommend', 'favorite_total_war']",4,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun",1
2798,Series Authenticity,"I have already played 38 hours of this game. It catches the one more turn of civilization while keeping the fast paced battles of  Total warhammer 2.  I highly recommend this game to anyone who loves total war, its the best in the series so far. If you are new to total war, you should start with an earlier version of it.

This is because of the high end learning curve for the diplomacy.  CA managed to make the best diplomacy AI and fun factor I have ever seen, this is a double edged sword as well. It has a learning curve of immense level. The family tree, court, and diplomacy between everyone must all be taken into account. You do not want to have your generals splitting off in the middle of a war.

The adoption and marriage part of the diplomacy is my favorite. Cao cao had 2 kids, when I was done, he had 9. I had a huge choice of who I wanted to lead Wei.

The AI is awful in most cases. I hope they fix this, however if your looking for a game where it will consume your life. This is it. What ever you do, don't start with the bandit queen, that was down right near impossible to complete on my first try 27 hours later I did it, the infamy system was amazing.",0.602199972,"['hour', 'catch', 'one_turn', 'civilization', 'fast_paced', 'battle', 'warhammer_two', 'highly_recommend', 'best_series', 'version', 'end', 'learning_curve', 'diplomacy', 'ca', 'diplomacy', 'fun', 'factor', 'sword', 'learning_curve', 'level', 'family_tree', 'court', 'diplomacy', 'account', 'general', 'war', 'adoption', 'marriage', 'diplomacy', 'cao_cao', 'kid', 'choice', 'lead', 'case', 'consume', 'life', 'bandit_queen', 'hour', 'infamy']",39,"['family_tree', 'consume', 'fun', 'marriage', 'highly_recommend', 'version', 'learning_curve', 'kid', 'account', 'catch', 'civilization', 'battle', 'adoption', 'level', 'sword', 'fast_paced', 'diplomacy', 'general', 'cao_cao', 'court', 'infamy', 'one_turn', 'lead', 'best_series', 'choice', 'ca', 'end', 'warhammer_two', 'bandit_queen', 'war', 'life', 'case', 'hour', 'factor']",34,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun",1
337,Series Authenticity,"One of the best Real Time Strategy Battle games out there!


Also

""Don't pursue Lu Bu!""",0.888599992,"['one_best', 'real_time', 'strategy', 'battle', 'pursue_lu_bu']",5,"['battle', 'one_best', 'strategy', 'pursue_lu_bu', 'real_time']",5,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun",1
879,Game Stability,Fun game but you should probably wait for it to go on sale,0.503600001,"['fun', 'wait_sale']",2,"['fun', 'wait_sale']",2,"campaign, hour, issue, battle, bug, crash, multiplayer, review, rome, fix",0
2651,Series Authenticity,I love this game and all the new features and changes. It took me a little while to get used to the way armies work but i actually like it now. Diplomacy is so much better now and way more in depth. Great new total war and awesome to finally play in China.,0.596700013,"['love', 'new_features', 'change', 'way', 'army', 'way', 'depth', 'china']",8,"['depth', 'china', 'way', 'army', 'new_features', 'change', 'love']",7,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun",1
2483,Characters,Alternative Universe: Gongsun Zan and his descendants become a military dictator of China. 10/10 would would rule China with an iron fist again.,0.845200002,"['universe', 'gongsun_zan', 'descendant', 'dictator', 'china', 'rule_china', 'iron', 'fist']",8,"['dictator', 'china', 'gongsun_zan', 'universe', 'descendant', 'fist', 'rule_china', 'iron']",8,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor",1
1849,Series Authenticity,"Having played all of the Total War games over the years, I have to say this is the best one ever made. They have cobbled together the best elements of the series and left most of the dead weight behind. 

Having said that, I have a degree in East Asian studies and took a course on Romance of the Three Kingdoms... so I totally geek out on the source material anyway. I'm glad that this has made a great part of history accessible to many more people around the world. 

I've played it 300 hours now and can say that the replayability of the campaign is great in general, but there will need to be more content released via dlc down the road to keep that fresh. I will probably go on to play another 300+ hours before I get bored at this point.",0.539600015,"['total_war_games', 'year', 'element', 'series', 'weight', 'degree', 'east', 'study', 'course', 'romance_three_kingdoms', 'source_material', 'history', 'people', 'world', 'hour', 'replayability', 'campaign', 'content', 'road', 'hour', 'point']",21,"['weight', 'course', 'year', 'replayability', 'east', 'people', 'history', 'total_war_games', 'road', 'romance_three_kingdoms', 'campaign', 'element', 'series', 'point', 'study', 'content', 'source_material', 'hour', 'degree', 'world']",20,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun",1
195,Series Authenticity,Excellent Game. Love the new duel feature,0.831200004,"['love', 'duel', 'feature']",3,"['duel', 'feature', 'love']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun",0
404,Series Authenticity,one of the best total war games,0.655700028,['one_best_total_war'],1,['one_best_total_war'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun",1
3592,Series Authenticity,"One of the best Novel in the history of mankind combined with one of the greatest series in gaming history. This title is a serious candidate for the best Total War, surpassing Shogun 2 by his depth and level of details. 

What else do you want?",0.948499978,"['one_best', 'history', 'mankind', 'one_greatest', 'series', 'gaming', 'history', 'title', 'candidate', 'best_total_war', 'shogun', 'depth', 'level']",13,"['depth', 'title', 'one_best', 'candidate', 'level', 'one_greatest', 'series', 'shogun', 'history', 'gaming', 'best_total_war', 'mankind']",12,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun",1
3656,Game Stability,game simply dose not load on 1st hour release date !,0.77759999,"['load', 'hour', 'release_date']",3,"['load', 'release_date', 'hour']",3,"campaign, hour, issue, battle, bug, crash, multiplayer, review, rome, fix",1
1597,Characters,"China history at last.
Also at the most interesting chapter.

",0.732200027,"['china', 'history', 'chapter']",3,"['chapter', 'china', 'history']",3,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor",0
3655,Game Stability,"Well it launched now, first campaign got ruined on turn 10 by a bug as my entire screen on the campaign map got covered in fog, no matter where I scrolled to. I will rate it positively as I assume this shit will be fixed and the rest seemed fun but it is a bit disappointing that with a 2 month delay the release was still sloppy.",0.934499979,"['campaign', 'turn', 'bug', 'screen', 'campaign_map', 'fog', 'matter', 'rate', 'shit', 'rest', 'fun', 'month', 'delay', 'release']",14,"['bug', 'turn', 'rest', 'matter', 'campaign_map', 'screen', 'campaign', 'rate', 'fun', 'month', 'delay', 'release', 'shit', 'fog']",14,"campaign, hour, issue, battle, bug, crash, multiplayer, review, rome, fix",1
634,Series Authenticity,"Great game for CA fans, need more DLCs",0.776300013,"['fan', 'dlcs']",2,"['fan', 'dlcs']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun",1
1883,Series Authenticity,Great Game not good but Great,0.332800001,[],0,[],0,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun",1
1673,Series Authenticity,One of the best and most complex Historical Total War games to date.,0.833199978,"['one_best', 'total_war_games', 'date']",3,"['one_best', 'date', 'total_war_games']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun",1
708,Series Authenticity,"This is an absolutely incredible game. I initially had my reservations about TW:TK, but I was proven very wrong when I finally played it. This is one of the few total wars that I have actually played to the very end and I would gladly recommend this to other people.",0.483799994,"['reservation', 'twtk', 'total_wars', 'end', 'people']",5,"['reservation', 'twtk', 'people', 'total_wars', 'end']",5,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun",1
735,Series Authenticity,Good mix of noticable Character Development and typical Total War Classics + not totally busted release day,0.666199982,"['mix', 'character_development', 'classic', 'release_day']",4,"['mix', 'character_development', 'release_day', 'classic']",4,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun",1
