,dominant_topic,original_text,topic_perc_contrib,tokens,num_tokens,unique_tokens,num_unique_tokens,keywords
1430,Series Authenticity,"I wasn't sure about this game in the beginning.
But what can I say: It's awesome!
",0.3328000009059906,[],0,[],0,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
842,Series Authenticity,Best total war game ever made,0.6664000153541565,['best_total_war'],1,['best_total_war'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
3310,Series Authenticity,one of the most in depth strategy games you will play.,0.7771999835968018,"['depth', 'strategy_games']",2,"['depth', 'strategy_games']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1149,Series Authenticity,This game is very fun. Probably my favorite Total War game.,0.7764999866485596,"['fun', 'favorite_total_war']",2,"['favorite_total_war', 'fun']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
2286,Series Authenticity,"I riotously RP as a Korean version of Samwell Tarly by playing Cao Cao! 

Please develop [i]Total War: The Walking Dead[/i] in the near future!",0.48919999599456787,"['version', 'cao_cao', 'future']",3,"['cao_cao', 'future', 'version']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
292,Series Authenticity,Yeah. It's the best Total war game yet.,0.6664000153541565,['best_total_war'],1,['best_total_war'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
251,Hist/Cultr Authenticity,Awesome Game! Decent diversity in units and fun aspect with the Captains leading units.,0.6776000261306763,"['diversity_units', 'fun', 'aspect', 'captain', 'unit']",5,"['diversity_units', 'aspect', 'captain', 'unit', 'fun']",5,"faction, army, diplomacy, vassal, war, player, people, way, city, problem"
288,Strategic Gameplay,10/10.  Dong Zhou hasn't died in my game yet!,0.6150000095367432,['dong_zhou'],1,['dong_zhou'],1,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor"
3643,Strategic Gameplay,"This is what we've been asking for years since Shogun:TW and it's worth waiting for. You know what else we've been asking for years? Medieval 3. And TW: LotR, Starwars, WH40K would be absolutely fricking awesome.",0.7264999747276306,"['year', 'year', 'lotr', 'starwar']",4,"['year', 'starwar', 'lotr']",3,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor"
759,Series Authenticity,Best TW  game since Shogun 2 days..,0.8312000036239624,"['best_tw', 'shogun', 'day']",3,"['shogun', 'best_tw', 'day']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1880,Series Authenticity,Might beat out my love for Shogun 2. 10/10.,0.7771000266075134,"['love', 'shogun_two']",2,"['shogun_two', 'love']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
716,Series Authenticity,"I love this game so much, much better then that fantasy stuff :D",0.7724000215530396,"['fantasy', 'stuff']",2,"['stuff', 'fantasy']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
3299,Series Authenticity,"Epic three kingdom strategy game, worth it!",0.5782999992370605,"['three_kingdom', 'strategy', 'worth']",3,"['strategy', 'three_kingdom', 'worth']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
723,Series Authenticity,One of the best campaigns in the Total War series.,0.8324999809265137,"['one_best', 'campaign', 'total_war_series']",3,"['campaign', 'total_war_series', 'one_best']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
306,Series Authenticity,Hands down the best Total War yet! :),0.7771999835968018,"['hand', 'best_total_war']",2,"['best_total_war', 'hand']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1422,Series Authenticity,Best total war game so far!,0.6664000153541565,['best_total_war'],1,['best_total_war'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
3238,Series Authenticity,best total war i ever played,0.6664000153541565,['best_total_war'],1,['best_total_war'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
277,Series Authenticity,"Smooth game, easy to learn UI, one of the best Total war games at launch, love it",0.5758000016212463,"['easy_learn', 'one_best_total_war', 'love']",3,"['easy_learn', 'one_best_total_war', 'love']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
162,Game Stability,Struggling to beat it even on normal difficulty :D,0.559499979019165,['normal_difficulty'],1,['normal_difficulty'],1,"campaign, hour, issue, battle, bug, crash, multiplayer, review, rome, fix"
1670,Series Authenticity,the best total war non-warhamer game they have done.,0.6664000153541565,"['best_total_war', 'nonwarhamer']",2,"['best_total_war', 'nonwarhamer']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1669,Series Authenticity,My favourite Total War game so far. Very polished already at start unlike the previous games. Romance mode is a good mix between Warhammer and historic gameplay.,0.8871999979019165,"['favourite_total_war', 'start', 'unlike_previous', 'romance_mode', 'gameplay']",5,"['favourite_total_war', 'unlike_previous', 'gameplay', 'romance_mode', 'start']",5,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
762,Series Authenticity,I'm new to total war games but this is by far the best game i've played in a long time,0.7774999737739563,"['total_war_games', 'long_time']",2,"['total_war_games', 'long_time']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1478,Game Stability,"its okay, i rate at least a 59 out of 69",0.5475999712944031,['rate'],1,['rate'],1,"campaign, hour, issue, battle, bug, crash, multiplayer, review, rome, fix"
1439,Strategic Gameplay,"An excellent Total War game. 9/10, would solo armies with Lu Bu again.",0.8069000244140625,"['solo', 'army', 'lu_bu']",3,"['solo', 'lu_bu', 'army']",3,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor"
3160,Tactical Gameplay,"I am sad because the game does not let us create our own characters. Male generals are everywhere with all kinds of names. Moreover, names are so overwhelming I am suffocated.",0.7023000121116638,"['character', 'general']",2,"['character', 'general']",2,"unit, battle, faction, army, general, character, diplomacy, campaign, hero, building"
1357,Series Authenticity,Best Three Kingdoms game ever made!!!,0.6644999980926514,['three_kingdoms'],1,['three_kingdoms'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
3506,Series Authenticity,"Many people will write better reviews than me, so just keep scrolling.",0.7645000219345093,"['people', 'write_reviews']",2,"['people', 'write_reviews']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
548,Series Authenticity,one of the most interesting total war games ever!!!,0.6661999821662903,['total_war_games'],1,['total_war_games'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1754,Tactical Gameplay,It's all good on land but for some reason ships can't walk.,0.7771999835968018,"['land', 'reason', 'ship']",3,"['ship', 'reason', 'land']",3,"unit, battle, faction, army, general, character, diplomacy, campaign, hero, building"
317,Series Authenticity,"i even take days off to play this game.

Worth my money",0.7730000019073486,"['day', 'worth_money']",2,"['worth_money', 'day']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
2054,Hist/Cultr Authenticity,"Came in thinking I'd hate it, played 200 hours without breaking for another game and still have hundreds more to go.",0.41040000319480896,"['hate', 'hour']",2,"['hour', 'hate']",2,"faction, army, diplomacy, vassal, war, player, people, way, city, problem"
1168,Series Authenticity,"These game was pretty surprising due to the fact that they usually don't release great games, but they really hit a home run",0.8317999839782715,"['fact', 'home', 'run']",3,"['home', 'run', 'fact']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1752,Strategic Gameplay,"This is one of the best Total war games ever!
I always sleep late at night due to this one.
It is always 'one last turn'....but u actually keep on going and hard to stop!
Cant wait for more.",0.7267000079154968,"['one_best_total_war', 'night', 'turnbut']",3,"['one_best_total_war', 'night', 'turnbut']",3,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor"
1898,Series Authenticity,Best Diplomacy in any Total War by far... even if the battles aren't quite as up there.,0.7760000228881836,"['diplomacy', 'battle']",2,"['diplomacy', 'battle']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
808,Series Authenticity,"this is the best total war launch, the game is playable and overall good.

I am happy with the game",0.7774999737739563,"['best_total_war', 'launch']",2,"['best_total_war', 'launch']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
3236,Series Authenticity,"Very good campaign map, runs very well, chinese VO is excellent. Graphics look very beautiful compared to TW: Warhammer series.",0.8664000034332275,"['campaign_map', 'graphic', 'tw_warhammer', 'series']",4,"['series', 'graphic', 'tw_warhammer', 'campaign_map']",4,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
3628,Strategic Gameplay,Appears well polished and is currently a lot of fun in the opening turns.,0.741599977016449,"['opening', 'turn']",2,"['opening', 'turn']",2,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor"
1017,Series Authenticity,The Best Total War game since Shogun II.  Definitely worth full price,0.8658999800682068,"['best_total_war', 'shogun_two', 'definitely_worth', 'price']",4,"['price', 'best_total_war', 'definitely_worth', 'shogun_two']",4,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
2176,Game Stability,"Game broken, map disapear again and again during campaign.
The whole campaign then becomes broken.",0.7681000232696533,"['map', 'campaign', 'campaign']",3,"['campaign', 'map']",2,"campaign, hour, issue, battle, bug, crash, multiplayer, review, rome, fix"
445,Series Authenticity,"Never played a Total War game before, but this is a blast to play.",0.6662999987602234,['blast_play'],1,['blast_play'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
27,Series Authenticity,Finally a good total war game!,0.3328000009059906,[],0,[],0,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1647,Series Authenticity,Best diplomacy gameplay out of all Total War games set in a very interesting period. Highly recommended!,0.8885999917984009,"['diplomacy', 'gameplay', 'total_war_games', 'period', 'highly_recommended']",5,"['diplomacy', 'highly_recommended', 'total_war_games', 'period', 'gameplay']",5,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1371,Series Authenticity,"I love this game , waiting this for along time ago",0.6647999882698059,['love'],1,['love'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
3324,Series Authenticity,"One of the best TW games CA ever made.

",0.7774999737739563,"['one_best', 'tw_games']",2,"['tw_games', 'one_best']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
520,Strategic Gameplay,One of the best Total War games at launch in a long while!,0.3968000113964081,['one_best_total_war'],1,['one_best_total_war'],1,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor"
139,Hist/Cultr Authenticity,Great game that is very polished. I loved the changes to Diplomacy.,0.7049000263214111,"['change', 'diplomacy']",2,"['diplomacy', 'change']",2,"faction, army, diplomacy, vassal, war, player, people, way, city, problem"
3606,Series Authenticity,"OMFG !!!

this game is ooft bro",0.3328000009059906,"['omfg', 'ooft', 'bro']",3,"['bro', 'omfg', 'ooft']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
498,Series Authenticity,Better than the Warhammer ones as well as some other recent games in the series :D,0.666100025177002,['series'],1,['series'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
639,Series Authenticity,"The best total war yet even if you aren't familiar with the setting. The depth around the characters makes me actually care about them, and the romance mode lives up to the novel.",0.8658999800682068,"['best_total_war', 'depth', 'character', 'romance_mode']",4,"['character', 'best_total_war', 'depth', 'romance_mode']",4,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
246,Series Authenticity,The best total war ever made... Period,0.7773000001907349,"['best_total_war', 'period']",2,"['period', 'best_total_war']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1092,Series Authenticity,Best game of the Total war Series :),0.7774999737739563,"['best_total_war', 'series']",2,"['series', 'best_total_war']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
62,Series Authenticity,One of the best in the series. If not the best. Highly recommend this game if you are familiar with the series,0.8665000200271606,"['one_best', 'series', 'highly_recommend', 'series']",4,"['highly_recommend', 'series', 'one_best']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
253,Strategic Gameplay,It's like dynasty warriors if dynasty warriors played nothing like dynasty warriors and involved blackmailing people with rice.,0.859499990940094,"['dynasty_warriors', 'dynasty_warriors', 'dynasty_warriors', 'people', 'rice']",5,"['people', 'dynasty_warriors', 'rice']",3,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor"
248,Series Authenticity,my favorite total war game tbh,0.6664000153541565,"['favorite_total_war', 'tbh']",2,"['favorite_total_war', 'tbh']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
898,Hist/Cultr Authenticity,Good game hard to understand to get into it but overall a good game and something i plan on getting into,0.5784000158309937,['plan'],1,['plan'],1,"faction, army, diplomacy, vassal, war, player, people, way, city, problem"
1173,Series Authenticity,Excellent game with much improved campaign and diplomacy system.,0.7753999829292297,"['campaign', 'diplomacy']",2,"['campaign', 'diplomacy']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1813,Series Authenticity,"I pre ordered this, and after 80 hours i can say that this is slightly below Shogun 2 (full DLC) in terms of personal enjoyment.

8.5 solid",0.8659999966621399,"['pre', '80_hours', 'shogun', 'term', 'enjoyment']",5,"['80_hours', 'term', 'pre', 'enjoyment', 'shogun']",5,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
656,Strategic Gameplay,10/10 Would marry Lü Bu again,0.7433000206947327,"['marry', 'lü_bu']",2,"['marry', 'lü_bu']",2,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor"
2712,Game Stability,It seems that hell has frozen: for the first time in forever we see a polished version of Total War on release day.,0.7732999920845032,"['hell', 'version', 'release_day']",3,"['release_day', 'hell', 'version']",3,"campaign, hour, issue, battle, bug, crash, multiplayer, review, rome, fix"
1819,Series Authenticity,EPIC!!!! My most loved of all TTW Games!,0.3328000009059906,['ttw'],1,['ttw'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1078,Series Authenticity,Nice Game... Good Fight mechanics and nice graphics,0.5824000239372253,"['fight', 'mechanic', 'graphic']",3,"['fight', 'graphic', 'mechanic']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
663,Series Authenticity,"great game, really makes you feel like mao",0.6661999821662903,"['makes_feel', 'mao']",2,"['makes_feel', 'mao']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
3214,Series Authenticity,"Ding Dong the Dong is Dead

More to come as I take more of China",0.5060999989509583,"['dong', 'china']",2,"['dong', 'china']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
3255,Series Authenticity,This game runs much more smoother than warhammer 2. A fine release and well worth the money paid for it.,0.8331000208854675,"['warhammer_two', 'release', 'worth_money']",3,"['release', 'worth_money', 'warhammer_two']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1135,Series Authenticity,Major improvement on diplomacy of total war game.,0.7766000032424927,"['improvement', 'diplomacy']",2,"['diplomacy', 'improvement']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
