,dominant_topic,original_text,topic_perc_contrib,tokens,num_tokens,unique_tokens,num_unique_tokens,keywords
3055,Content & Authenticity,Like it. Love it. keep playing it. ha three things.,0.3328000009059906,[],0,[],0,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
64,Content & Authenticity,Great Game. Alot of innovative ideas and well executed. Relatively bug-free on launch as well!,0.6758000254631042,"['alot', 'idea', 'bug', 'launch']",4,"['alot', 'launch', 'bug', 'idea']",4,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
3048,Content & Authenticity,"*Easy mode in Caocao 曹操* it seems easy to play

1 day later.....

Still loading my old saves to do the right decisions again",0.3407000005245209,"['mode', 'caocao', 'day', 'decision']",4,"['caocao', 'mode', 'decision', 'day']",4,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
145,Content & Authenticity,Great game and interesting AI gameplay which make the progress seems like watching a three kingdom drama.,0.866100013256073,"['gameplay', 'progress', 'three_kingdom', 'drama']",4,"['progress', 'three_kingdom', 'drama', 'gameplay']",4,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
2870,Content & Authenticity,"Loving the new diplomacy system. Just a shame this wont be apart of Warhammer 3...
Otherwise best historical Total War to date!",0.8885999917984009,"['diplomacy', 'shame', 'warhammer_three', 'best_historical', 'date']",5,"['best_historical', 'shame', 'date', 'diplomacy', 'warhammer_three']",5,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
2334,"UX/UI, Performance, Stability",Good Dynasty Warrior feel. Most optimized Total War imo. Beautiful art and music.,0.7631000280380249,"['dynasty_warrior', 'art', 'music']",3,"['dynasty_warrior', 'art', 'music']",3,"campaign, hour, issue, battle, bug, crash, multiplayer, review, rome, fix"
2977,Content & Authenticity,"Lets go! 12 hours later 
WOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOW! 
Best  total war to date!!!",0.4442000091075897,"['12_hours', 'best_total_war_date']",2,"['12_hours', 'best_total_war_date']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
853,Strategic Gameplay,"Excellent game, some slight dodgy DLC practices but otherwise very good.",0.7087000012397766,"['dodgy', 'dlc', 'practice']",3,"['dodgy', 'dlc', 'practice']",3,"faction, army, diplomacy, vassal, war, player, people, way, city, problem"
3585,"UX/UI, Performance, Stability","i can't even describe this masterpiece ... 
everything 11/10

",0.5444999933242798,"['masterpiece', '11_10']",2,"['masterpiece', '11_10']",2,"campaign, hour, issue, battle, bug, crash, multiplayer, review, rome, fix"
156,Content & Authenticity,I like it a lot. You should like it a lot too.,0.3328000009059906,[],0,[],0,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
2318,Content & Authenticity,"I have played every total war since Shogun 1 and this is Best Total War so far, I love all the new mechanics and the best part is you cannot just become a big power and easily win.. the game will always challenge you.",0.6234999895095825,"['shogun', 'one_best_total_war', 'new_mechanics', 'power', 'challenge']",5,"['shogun', 'power', 'one_best_total_war', 'new_mechanics', 'challenge']",5,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
791,Content & Authenticity,best total war game in ages!!,0.5067999958992004,"['best_total_war', 'age']",2,"['best_total_war', 'age']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
3320,Content & Authenticity,9/10. Now bring us Total War: Game of Thrones.,0.6593000292778015,['throne'],1,['throne'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1503,Content & Authenticity,"Best Total War to date. Does everything previous titles did, but better.",0.7773000001907349,"['best_total_war_date', 'previous_titles']",2,"['previous_titles', 'best_total_war_date']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
84,Content & Authenticity,"A great TW, especially in co-op.",0.3328000009059906,[],0,[],0,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
2700,Content & Authenticity,"Simply amazing and extremely fun
If you are a fan of Three Kingdom then you should absolutely buy it",0.7760999798774719,"['fan', 'three_kingdom']",2,"['three_kingdom', 'fan']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1886,Content & Authenticity,"Supremely balanced, intelligent, and deeply strategic. I love it !",0.3328000009059906,[],0,[],0,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1379,Content & Authenticity,It is fun just wish mods would come out.,0.7752000093460083,"['wish', 'mod']",2,"['wish', 'mod']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
3084,Strategic Gameplay,the black circle under a general's foot is very strange........it seems like a black hole,0.5834000110626221,"['circle', 'foot', 'hole']",3,"['foot', 'circle', 'hole']",3,"faction, army, diplomacy, vassal, war, player, people, way, city, problem"
2566,Content & Authenticity,"band new totalwar gameplay experience
better than expected",0.8330000042915344,"['band', 'totalwar', 'gameplay', 'experience']",4,"['band', 'totalwar', 'experience', 'gameplay']",4,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
946,Content & Authenticity,The most polished Total War game to date,0.6664000153541565,['date'],1,['date'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
197,Content & Authenticity,Some really great refinements to the Total War formula make this one of the most compelling offerings yet. It also give me excited to see the propagation of these features in other titles upcoming in the franchise.,0.8331000208854675,"['total_war_formula', 'offering', 'propagation', 'title', 'franchise']",5,"['title', 'total_war_formula', 'propagation', 'offering', 'franchise']",5,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
245,Content & Authenticity,got this game because of OverSimplified,0.3328000009059906,[],0,[],0,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
412,Content & Authenticity,The best Total War title since Shogun 2.,0.8331999778747559,"['best_total_war', 'title', 'shogun_two']",3,"['title', 'best_total_war', 'shogun_two']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
3492,Content & Authenticity,Best total war game ever played! :),0.6664000153541565,['best_total_war'],1,['best_total_war'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1637,Content & Authenticity,The best Total War experience yet!,0.777400016784668,"['best_total_war', 'experience']",2,"['best_total_war', 'experience']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
612,Characters,"great game, time flies when you're taking over china",0.6110000014305115,['china'],1,['china'],1,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor"
2423,Content & Authenticity,Three Kingdoms is easily one of the best games in the series.,0.8328999876976013,"['three_kingdoms', 'one_best', 'series']",3,"['one_best', 'series', 'three_kingdoms']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1674,Content & Authenticity,"Combat is smooth, and feels rewarding.  Lots of diplomacy- much more than the previous versions.  Definitely worth it!",0.8655999898910522,"['combat', 'diplomacy', 'version', 'definitely_worth']",4,"['version', 'diplomacy', 'definitely_worth', 'combat']",4,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
3460,Strategic Gameplay,"Ignore negative reviews, most of them are just shitters who are getting fucked by the AI. How bad do you have to be to get fucked by the AI?",0.7228000164031982,"['review', 'shitter', 'ai']",3,"['ai', 'review', 'shitter']",3,"faction, army, diplomacy, vassal, war, player, people, way, city, problem"
1005,Characters,A really fun game. did this for summer sale.,0.6148999929428101,['summer_sale'],1,['summer_sale'],1,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor"
761,Content & Authenticity,I'm new to total war games but this is by far the best game i've played in a long time,0.7774999737739563,"['total_war_games', 'long_time']",2,"['long_time', 'total_war_games']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1745,Content & Authenticity,best of all the TW games,0.6661999821662903,['tw_games'],1,['tw_games'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1428,Content & Authenticity,"I wasn't sure about this game in the beginning.
But what can I say: It's awesome!
",0.3328000009059906,[],0,[],0,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
3561,Content & Authenticity,Best total war ever. Game play and graphics are amazing. Everything feels nice and I wont loose interest. The campaign is much more detailed than the others. Getting the might Dong is pretty hard. I got it after many tries. I am so happy!!!,0.8324999809265137,"['best_total_war', 'graphics_amazing', 'campaign']",3,"['best_total_war', 'campaign', 'graphics_amazing']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
268,Content & Authenticity,Refreshing for the Total War series. The added diplomacy moptions really adds a good amount of replayability.,0.8320000171661377,"['series', 'diplomacy', 'moption', 'replayability']",4,"['replayability', 'moption', 'series', 'diplomacy']",4,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
929,Characters,"Lu Bu op, would Lu Bu again",0.7433000206947327,"['lu_bu', 'lu_bu']",2,['lu_bu'],1,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor"
677,Content & Authenticity,its a really nice game i would recommend,0.3328000009059906,[],0,[],0,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1941,"UX/UI, Performance, Stability",Easily the most fun I've had in a total war game. The romantic version plays like a Chinese game of thrones and the game play keeps bringing me back for some long sessions.,0.7688999772071838,"['version', 'throne', 'session']",3,"['version', 'session', 'throne']",3,"campaign, hour, issue, battle, bug, crash, multiplayer, review, rome, fix"
990,Content & Authenticity,One of the most polished TW games at release. Still need to get more into the campaign but the battles are awesome.,0.8654999732971191,"['tw_games', 'need', 'campaign', 'battle']",4,"['campaign', 'battle', 'need', 'tw_games']",4,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1566,Content & Authenticity,Always loved three kingdoms an all dynasty warriors so happy theres a total war version and its actually a really good game in my opinion the odd thing i might change but just a great game,0.8877999782562256,"['three_kingdoms', 'dynasty_warriors', 'version', 'opinion', 'change']",5,"['change', 'three_kingdoms', 'opinion', 'version', 'dynasty_warriors']",5,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
872,Content & Authenticity,"Total War and Three Kingdoms era China? Would watch Luoyang burn again/10
",0.3328000009059906,"['three_kingdoms_era_china', 'luoyang']",2,"['three_kingdoms_era_china', 'luoyang']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
2103,Tactical Gameplay,"the Game is great, only one thing is making me Sad, there are no Town batlle with wall's and that you are the Def party... then only thing what the AI do is Siege you till you are starving or that you Atk them..",0.8258000016212463,"['town', 'batlle', 'wall', 'party', 'siege']",5,"['siege', 'wall', 'batlle', 'town', 'party']",5,"unit, battle, faction, army, general, character, diplomacy, campaign, hero, building"
3080,"UX/UI, Performance, Stability","Like any other total war game, INSTALL on SSD for fast load times",0.7063000202178955,"['ssd', 'load_times']",2,"['ssd', 'load_times']",2,"campaign, hour, issue, battle, bug, crash, multiplayer, review, rome, fix"
548,Content & Authenticity,one of the most interesting total war games ever!!!,0.6661999821662903,['total_war_games'],1,['total_war_games'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
3559,Content & Authenticity,i love this game the one on one fights is so cool i can say three kingdoms total war gets a yes from me i also recommend it to try you might just love it.,0.6644999980926514,['three_kingdoms'],1,['three_kingdoms'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1437,Characters,"An excellent Total War game. 9/10, would solo armies with Lu Bu again.",0.8069000244140625,"['solo', 'army', 'lu_bu']",3,"['solo', 'lu_bu', 'army']",3,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor"
1044,Content & Authenticity,Really enjoyed this game. Can't wait to play it more,0.3328000009059906,[],0,[],0,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
3271,Content & Authenticity,"Simply amazing, so glad TWTK is finally here. PLEASE GIVE US THE BLOOD MOD.",0.4758000075817108,"['twtk', 'blood', 'mod']",3,"['twtk', 'mod', 'blood']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
276,Content & Authenticity,Total War incorporating romance and saga into it. Brilliant setup,0.47269999980926514,"['romance', 'saga', 'setup']",3,"['setup', 'saga', 'romance']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1337,Content & Authenticity,That oversimplified sold it for me. Truly the best of the franchise,0.6664000153541565,['franchise'],1,['franchise'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
891,Strategic Gameplay,"Great game, wish campaign could be more than 2 players tho",0.6780999898910522,"['campaign', 'player']",2,"['campaign', 'player']",2,"faction, army, diplomacy, vassal, war, player, people, way, city, problem"
2706,Content & Authenticity,Lovely. I wasn't convinced to buy it at the beginning but I bought it anyways and I don't regret it. I love the new romance mode and the campaign mechanics.,0.8655999898910522,"['regret', 'romance_mode', 'campaign', 'mechanic']",4,"['mechanic', 'romance_mode', 'campaign', 'regret']",4,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
3554,Content & Authenticity,lack of content and events but almost perfect !,0.8288000226020813,"['lack', 'content', 'event']",3,"['content', 'lack', 'event']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
2130,"UX/UI, Performance, Stability",I haven't decided whether I like this game or not.  In my mind I wonder if I haven't bought another turkey.  Judge for yourselves  though.,0.7056999802589417,"['mind', 'wonder', 'turkey', 'judge']",4,"['wonder', 'mind', 'judge', 'turkey']",4,"campaign, hour, issue, battle, bug, crash, multiplayer, review, rome, fix"
621,Content & Authenticity,Very fun game one of the best ive played from Total War,0.7775999903678894,"['one_best', 'ive_played']",2,"['one_best', 'ive_played']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1594,Characters,"China history at last.
Also at the most interesting chapter.

",0.732200026512146,"['china', 'history', 'chapter']",3,"['chapter', 'china', 'history']",3,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor"
2611,"UX/UI, Performance, Stability","Simply Amazing. More work needs to be done, but that doesn't take away from the fact that it is a great game.",0.6967999935150146,"['work', 'fact']",2,"['fact', 'work']",2,"campaign, hour, issue, battle, bug, crash, multiplayer, review, rome, fix"
1944,"UX/UI, Performance, Stability","keep crashing...become worst after patch.
crash at least 1 time per hour= =",0.7062000036239624,"['patch', 'crash']",2,"['patch', 'crash']",2,"campaign, hour, issue, battle, bug, crash, multiplayer, review, rome, fix"
2726,Strategic Gameplay,The formula updates to diplomacy and trading alone make this worthwhile.,0.7857999801635742,"['formula', 'diplomacy', 'trading']",3,"['trading', 'formula', 'diplomacy']",3,"faction, army, diplomacy, vassal, war, player, people, way, city, problem"
1208,Characters,Really recommended. Fun to play. It is one of best Total war game ever play.,0.5536999702453613,['one_best_total_war'],1,['one_best_total_war'],1,"china, war, cao_cao, lu_bu, liu_bei, yuan_shao, army, character, man, emperor"
1141,Content & Authenticity,"not my favourite total war game but i will say its still a great game and i've been having lots of fun with it, i kinda wish there was more content but guess i'll have to wait for dlc.",0.8659999966621399,"['favourite_total_war', 'lots_fun', 'content', 'wait_dlc']",4,"['favourite_total_war', 'content', 'lots_fun', 'wait_dlc']",4,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1066,Content & Authenticity,"Best total war, not best stratagy game tho.

7/10, would play when nothing else to do",0.44429999589920044,"['best_total_war', 'stratagy', 'tho']",3,"['tho', 'best_total_war', 'stratagy']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
160,Content & Authenticity,One of my favorite in the series,0.7774999737739563,"['one_favorite', 'series']",2,"['one_favorite', 'series']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
250,Strategic Gameplay,Would recommended if you like shogun 2. Replayability leaves a bit to be desired because factions feels the same.,0.4875999987125397,"['shogun_two', 'replayability', 'leaf', 'faction']",4,"['faction', 'replayability', 'shogun_two', 'leaf']",4,"faction, army, diplomacy, vassal, war, player, people, way, city, problem"
162,"UX/UI, Performance, Stability",Struggling to beat it even on normal difficulty :D,0.559499979019165,['normal_difficulty'],1,['normal_difficulty'],1,"campaign, hour, issue, battle, bug, crash, multiplayer, review, rome, fix"
1736,Content & Authenticity,"This is the best of the Total war series that I'd played ever.But the blood DLC should be free,",0.8331000208854675,"['best_total_war', 'series', 'blood_dlc']",3,"['best_total_war', 'series', 'blood_dlc']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
2622,Content & Authenticity,"Best Total War game, hands down imo. Everything is so polished and so many new features. 12/10 would play with the Dong again.",0.8662999868392944,"['best_total_war', 'hand', 'new_features', 'dong']",4,"['best_total_war', 'new_features', 'hand', 'dong']",4,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1273,Content & Authenticity,Best entry of the Series. Needs more units.,0.576200008392334,"['entry', 'series', 'unit']",3,"['entry', 'series', 'unit']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1073,Content & Authenticity,good game and defiently on the right track for total war. Hero system is fun and not over the top like in total war warhammer,0.8309000134468079,"['track', 'hero', 'warhammer']",3,"['warhammer', 'hero', 'track']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
395,Content & Authenticity,Definitely the most polished Total War game. Highly recommended!,0.6664000153541565,['highly_recommended'],1,['highly_recommended'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1632,Content & Authenticity,this is the best total war game ever of all time for now,0.6664000153541565,['best_total_war'],1,['best_total_war'],1,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
328,Content & Authenticity,the most polished total war game.,0.3328000009059906,[],0,[],0,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
27,Content & Authenticity,Finally a good total war game!,0.3328000009059906,[],0,[],0,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1106,Content & Authenticity,Great game combining many elements from previous games,0.775600016117096,"['element', 'previous_games']",2,"['previous_games', 'element']",2,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
850,Tactical Gameplay,really fun but wish the non hero units were more unique,0.7552000284194946,"['wish', 'hero', 'unit']",3,"['wish', 'unit', 'hero']",3,"unit, battle, faction, army, general, character, diplomacy, campaign, hero, building"
455,Content & Authenticity,Best total war game so far. Graphics are amazing and I recommend playing it.,0.8331999778747559,"['best_total_war', 'graphics_amazing', 'playing']",3,"['best_total_war', 'graphics_amazing', 'playing']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
1974,Content & Authenticity,"wow! the best one yet! and i doubted it, was going to skip it because the setting didnt interest me.. the game sure made me interested in it! first total war game with diplomacy!",0.8234000205993652,"['skip', 'setting', 'diplomacy']",3,"['skip', 'setting', 'diplomacy']",3,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
252,Content & Authenticity,"I recommend this game to the lovers of strategy and mostly, total war fans. It is very well designed and easy to understand. Absolutely fantastic game overalll.
",0.888700008392334,"['lover', 'strategy', 'fan', 'easy_understand', 'absolutely_fantastic']",5,"['easy_understand', 'lover', 'absolutely_fantastic', 'fan', 'strategy']",5,"three_kingdoms, series, fan, diplomacy, battle, love, best_total_war, campaign, total_war_games, fun"
