,review_number,dominant_topic,original_text,tokens,compound_sentiment,weighted_compound_sentiment
25,7,Content & Authenticity,"absolutely brilliant and beautiful game. worthy total war successor title that takes everything good about warhammer and thrones of britannia saga , mixes it up and adds stellar diplomacy options. the heroic duels are amazing , music , sfx ambiance is great , the espionage system is really well designed and the graphics are optimized rather well for even low end systems like mine. all in all this game has been an immense triumph for creative assembly with an amazingly smooth launch for total war game. total war three kingdoms is now my favorite total war title after the warhammers , toppling the venerated shogun games.","['total_war', 'successor', 'title', 'thrones_britannia', 'saga', 'mix', 'diplomacy_options', 'duel', 'music', 'ambiance', 'espionage', 'graphic', 'end', 'system', 'triumph', 'creative_assembly', 'launch', 'total_war', 'total_war', 'three_kingdoms', 'favorite_total_war', 'title', 'warhammer', 'shogun', 'game']",0.9799,0.4295756956274844
26,2518,Content & Authenticity,"the best total war for long time , amazing graphics and above all these amazing graphics during campaign and battle flow like dream. is this the first ever really well optimized total war title? and the depth in diplomacy , trade , alliances etc , so much content. was really worried that they were going to screw this one up since love the era. the chinese actors are very good , the style is suiting , the battles appropriately massive. for me , best title for long time , maybe since shogun 2 , maybe since before that even. hope they release some nanman meng huo campaign dlcs. however , must say would like to see naval battles in the future. while it is not too much of drawback , look at how kessen did them. think something like that would be fine and actually pretty simple. does not need to be more complex than that.","['best_total_war', 'long_time', 'amazing_graphics', 'amazing_graphics', 'campaign', 'battle', 'flow', 'dream', 'total_war', 'title', 'depth', 'diplomacy', 'trade', 'alliance', 'content', 'screw', 'love', 'era', 'actor', 'style', 'battle', 'title', 'long_time', 'shogun_two', 'release', 'nanman', 'campaign', 'dlcs', 'naval_battles', 'drawback', 'look', 'kessen']",0.9798,0.4295318568994889
27,3053,Content & Authenticity,"looking good. was bit worried that after three years of warhammer would be difficult to return to historical main title , but scale and scope of the setting drags you in straight away. playing romance mode so may be not strictly historical but its step to coming off the fantasy crack. there is fair bit to learn as the campaign has lot of depth and struggling bit with the names etc. as relationships play big part and am totally unfamiliar with the setting which is first for me. started with gongsun zan as this looked your more traditional soldier type and my sort of bloke. looks like there is fair bit of replayability with the different factions available on day 1. playing on pretty old rig gtx 750 ti so most graphic settings downgraded but still handling extreme unit size with about 40 fps zoomed out. seems pretty smooth. looking forward to getting home and firing up my new rig which purchased for tww and cranking up the settings. overall , how am going to find the time to play two tw games at the same time never had that problem before.","['bit', 'year', 'return', 'title', 'scale', 'scope', 'romance_mode', 'step', 'fantasy', 'crack', 'bit', 'campaign', 'depth', 'bit', 'name', 'relationship', 'setting', 'gongsun_zan', 'soldier', 'type', 'sort', 'bit', 'replayability', 'different_factions', 'day_one', 'rig', 'gtx', 'ti', 'setting', 'handling', 'extreme_unit_size', 'fp', 'looking_forward', 'home', 'rig', 'tww', 'cranking', 'setting', 'time', 'tw_games', 'time', 'problem']",0.9793,0.4293126632595116
28,2077,Content & Authenticity,"is it good? yeah , it is fucking good. can it be better? sort of. is it worth your money? yes. are you saving your money and waiting for more? wait for the modding community and sale. am having tons of fun with this game. campaign is hours of fun and the price is reflects that. it is fucking awesome game.","['sort', 'worth_money', 'money', 'modding_community', 'sale', 'ton', 'campaign', 'hour', 'fun', 'price']",0.9787,0.4290496308915389
29,2389,Content & Authenticity,"generally speaking , ign 's 9.3 is too high. if already read the novel of three kingdoms or knew the history of three kingdoms , this product may not be the one you want to purchase cuz it aint gonna satisfy ur demand for seeking the reestablishment of the history. nevertheless , those bugs and mismatched history events assembled may joy u. on the other hand , if know nothing about the three kingdoms , its absolutely good start to play this game. after playing this game , probably gonna be interested in stories happened in this era. the derived novel is much better than the game of thrones in terms of being good fiction. just like house of cards cant be as fantastic as election of 2016 , the novel based upon the history is much better than the game of thrones. anyway , try it if know nothing about it. if do know something , its gonna be disappointing one.","['ign', 'three_kingdoms', 'history', 'three_kingdoms', 'product', 'want', 'purchase', 'demand', 'history', 'bug', 'history', 'event', 'joy', 'hand', 'know', 'three_kingdoms', 'play', 'playing', 'story', 'era', 'throne', 'term', 'fiction', 'house', 'election', 'novel', 'history', 'throne']",0.9741,0.42703304940374787
30,3064,Content & Authenticity,"roses are red , violets are blue , do not pursue lu bu! this game looks absolutely stunning and really brings fascinating era of history to life. it reminds me of shogun in terms of how unified the art style , ui , music , and general flavor of the game are. the campaign mode is deeper than ever before , and the battles occupy nice middle ground between the over the top fantasy of warhammer and previous historical titles in romance mode. the chinese voice acting is also superb , and would encourage anyone playing to switch to it immediately. to top it all off , this game runs like charm. get higher fps on ultra with extreme unit sizes than did with warhammer 2. am not sure if this is my favorite total war title yet , but it is definitely strong contender.","['rose', 'violet', 'pursue_lu_bu', 'era', 'history', 'life', 'reminds_shogun', 'term', 'art_style', 'music', 'flavor', 'campaign_mode', 'battle', 'ground', 'fantasy', 'warhammer', 'previous_historical_titles', 'romance_mode', 'chinese_voice', 'playing', 'switch', 'fp', 'extreme_unit_sizes', 'warhammer_two', 'favorite_total_war', 'title', 'contender']",0.9724,0.4262877910278251
31,35,Content & Authenticity,what can say about this game ... at least you do not have to have party whilst waiting for your new turn to load. also the blood pack in my opinion is very good as it is lot better than all the older one as it has sliders so it can be as crazy or as minimal as you like. also watching duels and seeing some gruesome beheading etc. is pretty cool. also the yellow turban dlc is pretty cool as you get different experience where everyone hates you which is nice. but for tw fan have to admit this is the first more realistic total war game am into ( i played quite bit of tww1 and tww2 overall ) so if your looking for total war game which gives perfect mix ( especially on romance mode ) between fantasy and real events historical then this is definatley your game to get. ps. love it,"['party', 'turn', 'load', 'blood_pack', 'opinion', 'slider', 'duel', 'yellow_turban_dlc', 'experience', 'tw', 'fan', 'total_war', 'bit', 'total_war', 'mix', 'romance_mode', 'fantasy', 'event', 'definatley', 'love']",0.9695,0.4250164679159569
32,2795,Content & Authenticity,"this is my first total war franchise game ever played and am not regretting it. at first , was skeptical with the performance of my display card , but it turns out the game is perfectly launched on my macbook pro 2018 without sacrificing much resolution and fps , thanks to the great optimization.","['total_war_franchise', 'performance', 'display', 'card', 'macbook', 'resolution', 'thank', 'optimization']",0.9669,0.42387666098807497
33,2971,Content & Authenticity,was looking for historical game but got rework of warhammer with heroes that rule the battlefield. the historical mode is just watered down version of the romance version and playing ranked is with heroes only. do not buy if you wanna play strategic battles online since the heroes will determine if you win or lose,"['rework', 'hero', 'battlefield', 'historical_mode', 'version', 'romance', 'version', 'playing', 'hero', 'battle', 'hero', 'win']",0.9657,0.4233505962521295
34,2450,Content & Authenticity,"just the best game about three kingdoms ever. you have chance to follow footsteps of your beloved heroes , and at same time feeling free and propelled to shape their destinies in your own way. wonderful experience , everything works well. small minus is castle defending , not as interesting as expected","['three_kingdoms', 'chance', 'follow', 'footstep', 'hero', 'time', 'shape', 'destiny', 'way', 'experience']",0.9645,0.422824531516184
35,1693,Content & Authenticity,"it is good work in general , with sincere effort for cultural understanding of china well as some effort in bugfixing. so far never encountered anything that would seriously affect the gameplay. so am happy for that however , for an aaa game , this title feels like polished mod of warhammer and there are still too much work left to be done. please understand that it is still revolution in total war series , would just like to encourage the studio to finish off some ovious flaws. in general : good basegame , not many bugs to complain about. good effort in chinese history and culture new innovation in hero focused gameplay which works. bad late game focus , running out of heores mid ´game is not fun. certain character traits is not lore friendly. in the late game , lot of features felt like work. either reduction of game length is needed or more feature in the late game is needed.","['work', 'effort', 'china', 'effort', 'gameplay', 'aaa', 'title', 'mod', 'work', 'revolution', 'total_war_series', 'studio', 'finish', 'flaw', 'bug', 'effort', 'chinese_history', 'culture', 'innovation', 'hero', 'gameplay', 'focus', 'game', 'fun', 'character_traits', 'lore', 'feature', 'work', 'reduction', 'length', 'feature']",0.9619,0.4216847245883021
36,438,Content & Authenticity,"am really enjoying this game so far , its nice mix of history and fantasy which really suits the setting. measure the success of total war game on its ability to encourage interest in that period of history and this one certainly achieves that. definitely try it out","['enjoying_far', 'mix', 'history', 'fantasy', 'suit', 'measure', 'success', 'total_war', 'ability', 'period', 'history']",0.9599,0.42080795002839294
37,2023,Content & Authenticity,"with the big delay and weird romance quasi historical set up was prepared to be disappointed with this game. was not. pros * diplomacy is not mostly irrelevant - most factions rely on some sort of diplomatic wrangling to last until the mid game * three kingdoms is much more difficult than past titles ( only because there is so much more going on ) but each campaign is wildly different than the last * there are less turns wasted waiting for your cash to creep back up there are more solutions for everything * the battles are easy to navigate and keeping track of everyone is breeze * i ran mine with low graphics but extreme unit sizes and never had single issue on my older laptop * the yellow turban dlc is worth the buy ( even though received mine with preorder ) they immediately became my favorite cons * normal bugs on release , some have already been fixed * i found the tutorial bit lacking , even for someone who has played all the total wars * while beautiful , the reform layout is bit vexing to sort out , especially when you do not have all the colors memorized yet * some factions are only worth playing in romance mode and some only in records overall they really brought it back with this one. recommend buying even at full price. it is fun , challenging game that keeps you on your toes.","['delay', 'romance', 'set', 'pro', 'faction', 'three_kingdoms', 'title', 'campaign', 'turn', 'cash', 'creep', 'solution', 'battle', 'track', 'breeze', 'graphic', 'extreme_unit_sizes', 'issue', 'laptop', 'yellow_turban_dlc', 'worth_buy', 'preorder', 'con', 'bug', 'bit', 'total_wars', 'reform', 'layout', 'bit', 'color', 'faction', 'romance_mode', 'record', 'price', 'fun', 'toe']",0.9593,0.42054491766042024
38,388,Content & Authenticity,"have played most of the total war games , and have to say , this game is the most new , fresh , and fun game in the series have played. unlike most of the other tw games that were mainly battle and conquer focused , this game adds many new features that are fun to play with and add more spice to the game. there are many hints of shogun in this game , where each battle truly matters and single loss can devastate the rest of the game , but that type of intensity is fun this game is definitely the best so far , and mods will only add to this , cannot wait for that!","['total_war_games', 'fun', 'series', 'tw_games', 'battle', 'conquer', 'new_features', 'fun', 'play', 'add', 'spice', 'hint', 'shogun', 'battle', 'loss', 'devastate', 'rest', 'type', 'intensity', 'fun', 'mod']",0.9573,0.4196681431005111
39,2660,Content & Authenticity,an amazing experience so far. the presentation of the campaign is really impressive. am so happy return to the series and hope ca use this momentum to update three kingdoms as well as plan for upcoming tw games. well done!,"['experience', 'presentation', 'campaign', 'return', 'series', 'hope_ca', 'momentum', 'update', 'three_kingdoms', 'plan', 'tw_games']",0.957,0.4195366269165247
40,2145,Content & Authenticity,great game! the combat reminds me lot of when first played shogun 2. cavalry units can be bit op if used right. diplomacy changes are few steps in really good direction and hope they stick around. make sure you have good cpu if you want to play with the new extreme unit sizes. definitely must have game if you are fan of total war games and the dynasty warriors/romance of the three kingdoms games.,"['combat', 'remind', 'shogun_two', 'cavalry', 'unit', 'bit', 'diplomacy', 'step', 'direction', 'hope', 'cpu', 'extreme_unit_sizes', 'fan', 'total_war_games', 'dynasty', 'warriorsromance', 'three_kingdoms', 'game']",0.957,0.4195366269165247
41,1149,Content & Authenticity,"bit different from previous three kingdoms games , but fun in its own right. aside from the lack of being able to create and play custom officers found it quite nice with pleasing balance between the extreme micro management of previous entries and the increased need for battle strategy of the total war series. worth look if you are fan of either series as they blend together quite well.","['bit', 'three_kingdoms', 'game', 'lack', 'play', 'custom', 'officer', 'balance', 'management', 'entry', 'need', 'battle', 'strategy', 'total_war_series', 'look', 'fan', 'series', 'blend']",0.9563,0.41922975582055655
42,2720,Content & Authenticity,mike wheels and tom hawkins content producers from creative assembly did great job at streaming this game and explaining how it works and describing the history and story of the romance of the three kingdoms. have dynasty warrior games through 9. also have the romance of the three kingdoms games through 14 and also have kessen 2. this total war kingdoms game is already challenging to be the best version of all. thank you very much for making this game.,"['mike', 'wheel', 'hawkin', 'content', 'producer', 'creative_assembly', 'streaming', 'work', 'history', 'story', 'romance_three_kingdoms', 'dynasty_warrior', 'romance_three_kingdoms', 'game', 'kessen', 'total_war', 'kingdom', 'version']",0.9559,0.41905440090857465
43,1545,Content & Authenticity,"one of the best in total war 's historical series so far. modes made it fun. romance mode is somehow arcade like , records mode is more traditional tw gameplay. both are fun to play with in the grand campaign. and for the first time ever , non english language option to make it very authentic to the game 's theme ( in this game it is mandarin chinese )","['one_best_total_war', 'series', 'mode', 'fun', 'romance_mode', 'arcade', 'records_mode', 'gameplay', 'fun', 'grand_campaign', 'time', 'language', 'option', 'theme', 'mandarin']",0.9545,0.41844065871663827
44,3035,Content & Authenticity,"great game so far. amazing graphics , soundtrack , optimization is decent ( could be tad better ). cool idea to have both romance and records. started records campaign , but thats because am more of historical fan than of fantasy. really happy bought this game , even though my knowledge of this period is limited.","['amazing_graphics', 'optimization', 'tad', 'idea', 'romance_records', 'record', 'campaign', 'fan', 'fantasy', 'knowledge', 'period']",0.9537,0.41808994889267465
45,397,Content & Authenticity,"the game is major improvement over its predecessors , the campaign is lot more engaging and enjoyed playing it with friend in co op. do wish that they would add more than player co op ( perhaps learn from civ how to implement this ) and do wish they would stop charging for blood ....","['improvement', 'predecessor', 'friend', 'wish', 'player', 'op', 'civ', 'wish', 'blood']",0.9473,0.4152842703009654
46,202,Content & Authenticity,"have always loved the three kingdoms setting every since playing the ancient console rot3k game , and have always loved total war games , so went into this with high expectations and am satisfied customer. gorgeous graphics , lots of ways to go deep into the game , while keeping the action fun and dynamic in both the campaign and battle maps.","['three_kingdoms', 'playing', 'console', 'total_war_games', 'expectation', 'customer', 'graphic', 'lot', 'way', 'action', 'fun', 'campaign', 'battle_maps']",0.9413,0.41265394662123794
47,1788,Content & Authenticity,"take this review with grain of salt because this is one of my favorite periods in history and have only played in romance mode. but love this game , given some time and dlc and this could very well be my favorite total war game and have played every tw game except thrones of britannia","['grain', 'salt', 'one_favorite', 'period', 'history', 'romance_mode', 'time', 'favorite_total_war', 'thrones_britannia']",0.9397,0.41195252697331064
48,83,Content & Authenticity,brilliant launch and plenty of new and improved features plus tons of support to fix issues. great game and fun total war particularly if you are fan of the era.,"['launch', 'feature', 'ton', 'fix', 'issue', 'fun', 'total_war', 'fan', 'era']",0.9371,0.41081272004542874
49,2169,Content & Authenticity,"they went hard with this one , incredibly extensive diplomacy , fun changes to unit recruitment , improved upon warhammer 's generals/heroes system significantly , and is just an overall polished and gorgeous game. am excited to see them take what they have learned and finish up the warhammer series! music 9/10 graphics 10/10 ( if your pc is thicc boi ) game play 10/10","['diplomacy', 'fun', 'change', 'unit', 'recruitment', 'warhammer', 'generalsheroe', 'finish', 'series', 'music', 'graphic', 'pc', 'thicc']",0.9366,0.41059352640545144
50,27,Content & Authenticity,"( voice over ). game play : 7/10 some hero are overpowered which is good but there is no option to play as the han empire ( ai controlled ). also , tutorial would be helpful. graphic/music : 10/10 did not played much game recently , so they look and sound good. overall would recommand purchase of this game but at the same time hope there would be more improvement/content update in the future.","['voice', 'hero', 'option_play', 'han_empire', 'ai', 'tutorial', 'graphicmusic', 'purchase', 'time', 'hope', 'improvementcontent', 'update', 'future']",0.9337,0.4093222032935832
51,1731,Content & Authenticity,"great base for game , but to ' complete ' it , well initially , the game needs the blood and gore dlc asap. battles just look silly without it , you need blood and limbs on the floor and units just to make it as gritty as battle needs to be. other than that , hope for more variety in the dlcs , im sure it will come ... thats me being picky and expectant. as it stands , well worth the purchase , you get solid experience all round and any game that lets you take charge of big dong , is good with me : d","['base', 'complete', 'blood_gore_dlc', 'battle', 'need', 'blood', 'limb', 'floor', 'unit', 'battle', 'variety', 'dlcs', 'im_sure', 'stand', 'purchase', 'experience', 'let', 'charge', 'dong']",0.9337,0.4093222032935832
